"Success","Analysis completed","INFO","No vulnerabilities found","cwe476_scenario01_1.c","0","0","0","0"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/cwe476_scenario01_10.c","12","5","12","5"
"Success","Analysis completed","INFO","No vulnerabilities found","cwe476_scenario01_2.c","0","0","0","0"
"Success","Analysis completed","INFO","No vulnerabilities found","cwe476_scenario01_3.c","0","0","0","0"
"Success","Analysis completed","INFO","No vulnerabilities found","cwe476_scenario01_4.c","0","0","0","0"
"Success","Analysis completed","INFO","No vulnerabilities found","cwe476_scenario01_5.c","0","0","0","0"
"Success","Analysis completed","INFO","No vulnerabilities found","cwe476_scenario01_6.c","0","0","0","0"
"Success","Analysis completed","INFO","No vulnerabilities found","cwe476_scenario01_7.c","0","0","0","0"
"Success","Analysis completed","INFO","No vulnerabilities found","cwe476_scenario01_8.c","0","0","0","0"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/cwe476_scenario01_9.c","12","5","12","5"
